nct_id,title,drug_name,termination_date,termination_reason
NCT04038502,Carboplatin or Olaparib for BRcA Deficient Prostate Cancer,Carboplatin,2027-08-31,Reason not provided
NCT02619253,Phase I/Ib Study of Pembrolizumab With Vorinostat for Patients With Advanced Renal or Urothelial Cell Carcinoma,Pembrolizumab,2023-03-28,Reason not provided
NCT02640937,Biofilm Formation in Staphylococcus Epidermidis Associated Implant Infections,Unknown Drug,2015-11,Reason not provided
NCT04916795,"A Study To Investigate The Pharmacokinetics, Pharmacodynamics, Safety And Tolerability Of Single Dose Vupanorsen In Healthy Chinese Adults",Vupanorsen,2021-10-19,Reason not provided
NCT04644367,Effects of a Biomechanical-based Tai Chi Program on Gait and Posture in People With Parkinson's Disease,Unknown Drug,2022-05-15,Reason not provided
NCT07382830,Effectiveness of a Visual Feedback Exercise Program Following Lumbar Surgery,Unknown Drug,2028-06-30,Reason not provided
NCT06438029,The Effect of Disaster Training on the Perception of Disaster Response Competence,Unknown Drug,2025-01-15,Reason not provided
NCT05002777,"Efficacy, Safety and Pharmacokinetics of Rilzabrutinib in Patients With Warm Autoimmune Hemolytic Anemia (wAIHA)",rilzabrutinib,2029-12-31,Reason not provided
NCT02565511,A Study of CAD106 and CNP520 Versus Placebo in Participants at Risk for the Onset of Clinical Symptoms of Alzheimer's Disease,CNP520,2020-04-30,Reason not provided
NCT00314002,Catheter Thrombectomy in Patients With Massive Pulmonary Embolism,Unknown Drug,2007-04,"After treatment of 7 patients, it was decided that the handling characteristics of the test device should be upgraded before continuing the trial as planned."
NCT07669844,Effect of Bruegger's Exercise in Chronic Mechanical Neck Pain With Forward Head Posture,Unknown Drug,2026-09-16,Reason not provided
NCT03712969,Shenlingcao Oral Liquid for Patients With Stage II or IIIA NSCLC,Shenlingcao Oral Liquid,2023-05-04,Reason not provided
NCT01194674,Microplasmin Intravitreal Administration in Participants With Uveitic Macular Edema,Microplasmin,2011-12,Lack of enrollment.
NCT03427996,Evaluation of Effectiveness and Safety of Rotational Atherectomy in Routine Clinical Practice,Unknown Drug,2034-12-31,Reason not provided
NCT01445873,Pilot Chart Review Study Of Sitaxentan Sodium (Thelin) In Patients With Pulmonary Arterial Hypertension (PAH),Sitaxentan sodium,2011-03-28,Reason not provided
NCT02373241,Preventing Sickle Cell Kidney Disease,Losartan,2021-07,Estimated GFR was determined not to be a reliable endpoint for this study. We identified significant variabilty in annual eGFR that it became inappropriate to randomize to a medication but use EGFR as the primary endpoint.
NCT06471205,A Study of BL-B01D1+PD-1 Monoclonal Antibody in Patients With Unresectable Locally Advanced or Recurrent Metastatic Triple-negative Breast Cancer,BL-B01D1,2026-07,Reason not provided
NCT02415166,Influenza Challenge in Mood Disorders,Unknown Drug,2016-03,Reason not provided
NCT04064060,A Study to Evaluate Long-term Safety in Participants Who Have Participated in Other Luspatercept (ACE-536) Clinical Trials,Luspatercept,2028-05-12,Reason not provided
NCT00850720,Study of Possible Brain Hormone Problems After Open Heart Surgery in Infants,Unknown Drug,2009-10,Inability to recruit / logistic problems.
NCT02751424,"A Study to Evaluate Safety, Tolerability and Pharmacokinetics of Ascending Intravenous Single Dose and Repeat Dose of GSK3342830",GSK3342830,2017-02-02,Study data is currently under review.
NCT00137462,Lipitor Trial To Study The Effect Of Torcetrpib/Atorvastatin To Atorvastatin Alone.,torcetrapib/atorvastatin,2006-09,Reason not provided
NCT06753383,Effectiveness of Virtual Reality- Based Rehabilitation Program in Individuals With Adolescent Idiopathic Scoliosis After Posterior Fusion Surgery,Unknown Drug,2025-02-20,Reason not provided
NCT00848783,"Irinotecan/Cisplatin, Potentially Curative Surgery With or Without Floxuridine, Followed by Capecitabine for Stomach and Gastro-esophageal Junction (GEJ) Cancers",Irinotecan,2012-09,Due to slow accrual
NCT06776497,The Effect of Video Streaming with Virtual Reality Glasses on Pain and Anxiety,Unknown Drug,2024-08-30,Reason not provided
NCT04207580,A National Prospective Cohort of Patients With Idiopathic Nephrotic Syndrome Beginning in Childhood.,Unknown Drug,2048-01,Reason not provided
NCT06307613,A Study of Efgartigimod PH20 SC Given by Prefilled Syringe in Adults With Thyroid Eye Disease,Unknown Drug,2026-02-12,"The pre-defined interim analysis concluded that continuing the trials is unlikely to demonstrate the intended efficacy. This decision is not related to safety concerns, and the safety profile of efgartigimod remains unchanged."
NCT04564586,Developing and Testing a Technology-Based Translation of the DPP to Address Prediabetes in a Primary Care Setting,Unknown Drug,2022-10-01,Reason not provided
NCT03341962,Phase 2 Dose-finding IMU-838 for Ulcerative Colitis,IMU-838,2022-11-16,"Considering the efficacy results of the induction phase (allowed use of corticosteroids as concomitant medication) in the study population and since IMU-838 did not show superiority over placebo, the OLE was prematurely closed by the sponsor."
NCT00117286,Extension Study Investigating the Long-Term Safety of Degarelix One-Month Depots in Patients With Prostate Cancer,Degarelix,2009-11,Reason not provided
NCT07107412,Turkish General Rehabilitation Adherence Scale in Osteoarthritis Patients,Unknown Drug,2025-11-04,Reason not provided
NCT05357430,The Application of Remazolam in Gastroenteroscopy,Remimazolam,2023-08-01,Reason not provided
NCT04254328,The Effectiveness of Nintendo Wii Fit and Inspiratory Muscle Training in Older Patients With Heart Failure,Unknown Drug,2021-12-21,Reason not provided
NCT01458132,"Drug Exposure Registry for GSK2248761, an Investigational NNRTI",Unknown Drug,2013-04-30,Reason not provided
NCT06287463,Study of DCC-3084 in Participants With Advanced Malignancies Driven by the Mitogen-Activated Protein Kinase (MAPK) Pathway,DCC-3084,2026-02-13,"Trial terminated due to a business decision, not based on any safety concerns."
NCT04872881,Comparison of Effectiveness of Different Airway Management Methods During Percutaneous Tracheostomy,Propofol Fresenius,2021-10-01,Reason not provided
NCT05495334,Innovations in Genicular Outcomes Registry,Unknown Drug,2033-12-30,Reason not provided
NCT06544499,A Study to Assess the Efficacy and Safety of Efgartigimod IV in Adult Participants With Primary Immune Thrombocytopenia,Unknown Drug,2028-06,Reason not provided
NCT01161498,Study of Safety and Efficacy of Talimogene Laherparepvec With Cisplatin and Radiotherapy for Treatment of Locally Advanced Head and Neck Cancer,Cisplatin,2011-10,The changing aetiology of squamous cell carcinoma of the head and neck (SCCHN).
NCT05904119,Lomustine With and Without Reirradiation for First Progression of Glioblastoma: a Randomized Phase III Study,Lomustine,2028-02,Reason not provided
NCT00834899,A Safety Study of Eptifibatide in Patients With Sickle Cell Disease,Eptifibatide,2012-03,Slow accrual and no cost extension not approved by NHLBI
NCT07145593,Gamma tACS in Attention-Deficit/Hyperactivity Disorder,Unknown Drug,2027-12-30,Reason not provided
NCT03669484,Comparative Clinical Study of Efficacy and Safety of Remimazolam and Propofol in Patients Undergoing Elective Surgery Under General Anaesthesia,Remimazolam,2018-05-24,Reason not provided
NCT01121458,Clevidipine for Vasoreactivity Evaluation of the Pulmonary Arterial Bed,Clevidipine,2013-04,Reason not provided
NCT07045038,Blood Flow Restricted Resistance Exercises Versus Low Level Laser on Cardiac Functions in Patients With Chronic Heart Failure,Medical treatment,2026-04,Reason not provided
NCT03709849,Effectiveness and Safety of Bushen Culuan Decoction for Anovulatory Infertility,experimental group: Bushen Culuan Decoction and Clomiphene Citrate Tablets placebo,2020-08-31,Reason not provided
NCT05046834,Effect of Cold Application on Patient's Pain and Vital Signs During Chest Tube Removal.,Unknown Drug,2026-10-15,Researchers' workload and the fact that they work at different institutions made it difficult to gather data.
NCT04216784,Compare the Diuretic Effect With Furosemide vs Furosemide and Albumin Combined in Cirrhotic Patients,Furosemide Injection,2024-04-01,The study halted prematurely due to staffing.
NCT07408284,Yo-Yo With Ball and Small-Sided Games Intervention,Unknown Drug,2025-11-11,Reason not provided
NCT01964378,CORAL - Cebranopadol Versus Morphine Prolonged-release in Patients With Chronic Moderate to Severe Pain Related to Cancer,Cebranopadol,2015-10-16,low accrual made the study no longer feasible/decision not related to safety and efficacy
NCT06503562,Chronic Nonspecific Neck Pain and Central Nervous System Focused Treatment Program,Unknown Drug,2025-07-10,Reason not provided
NCT01879618,Use Of Fragmin In Hemodialysis,Fragmin,2016-03,Reason not provided
NCT04176523,Understanding the Long-Term Management of Organic Acidemia Patients With CARBAGLU®: A Mixed Methods Approach,Carglumic Acid,2029-07-30,Reason not provided
NCT06121427,Incidence of Viral Hepatitis D Relapses Upon Discontinuation of Bulevirtide in Patients With Chronic Hepatitis D and Negative HDV RNA,Unknown Drug,2025-02-28,Reason not provided
NCT05918861,Effect of Dalcetrapib on CV Risk in a Genetically Defined Population With a Recent ACS,Dalcetrapib,2027-08,Reason not provided
NCT02731742,Dose Evaluation of MK-1966 in Combination With SD-101 in Participants With Advanced Malignancies (MK-1966-001),SD-101,2018-01-08,The study was terminated early due to business reasons.
NCT07153718,Optimal Ablation Strategies for Persistent AF With HF,Unknown Drug,2026-12-31,Reason not provided
NCT04962646,CARbon Dioxide Flooding to Reduce Postoperative Neurological Injury Following Surgery for Acute Type A Aortic Dissection,Unknown Drug,2025-06-30,Reason not provided
NCT03511196,Intermittent Androgen Deprivation Therapy for Stage IV Castration Sensitive Prostate Cancer,Adaptive Androgen Deprivation Therapy (ADT),2026-09,Reason not provided
NCT07038798,Deep rTMS for Mild Neurocognitive Disorder in Older Adults,Unknown Drug,2027-01,Reason not provided
NCT02128243,Trial of S-1 Maintenance Therapy in Metastatic Esophagogastric Cancer,S-1 de-escalation,2020-10-08,Reason not provided
NCT05653232,Prophylaxis With Direct-acting Antivirals for Kidney Transplantation From HCV-Infected Donors to Uninfected Recipients,Unknown Drug,2027-03,Reason not provided
NCT05492032,Cumulative and Booster Effects of Multisession Prefrontal Transcranial Direct Current Stimulation in Adolescents With ASD,Unknown Drug,2026-12-31,Reason not provided
NCT04471987,Safety and Early Signs of Efficacy of IL12-L19L19.,IL12-L19L19,2026-12,Reason not provided
NCT01845116,Omegaven® in the Treatment of Parenteral Nutrition (PN) Induced Liver Injury,Omegaven®,2020-07,Reason not provided
NCT06878326,Resting-State Functional Connectivity as a Predictor of tDCS Effects in Adolescents With Autism Spectrum Disorder,Unknown Drug,2027-04,Reason not provided
NCT05931848,Otago Home-Based Exercise Program in Community-Dwelling Older Women (METCOHEP Study),Unknown Drug,2024-06-17,The study could not be completed because of the research team was seperated.
NCT04026984,Evaluate Safety and Efficacy of Rifamycin SV MMX in the Treatment of Traveler's Diarrhea in Children Age 6 to 11 Years,Rifamycin SV-MMX,2025-12,Reason not provided
NCT04147806,A Pilot Study of Ultra-High-Dose Hypofractionated or Single-Dose Radiotherapy for Intermediate Risk Prostate Cancer,Dexamethasone,2026-07,Reason not provided
NCT07611825,Gut Microbiota Modulation for Immunotherapy Resensitization in Advanced Renal Cell Carcinoma,Toripalimab,2028-12-31,Reason not provided
NCT05701917,DEFIANCE: RCT of ClotTriever System Versus Anticoagulation In Deep Vein Thrombosis,"Commercially available/market approved anticoagulation medication including but not limited to: Heparin Sodium, Coumadin, Rivaroxaban, Apixaban, etc.",2027-01-15,Reason not provided
NCT00505284,An Evaluation of the Efficacy and Safety of E2007 in Patients With Painful Diabetic Neuropathy,Placebo,2008-07,Reason not provided
NCT02336425,Efficacy and Safety of QGE031 Compared With Placebo in Patients Aged 18-75 Years With Asthma,QGE031,2016-03,This study was terminated due to the efficacy results from an interim analysis (at the end of treatment epoch) of the Phase II study CQGE031B2201 (NCT01716754).
NCT05546684,The Effect of Foot Bath on Postoperative Sleep Quality in Patients Undergoing Transurethral Resection,Unknown Drug,2023-12-25,Reason not provided
NCT06013826,The Effect of Telenursing on the Pain and Fear of Insulin Injection,Unknown Drug,2022-11-15,Reason not provided
NCT01989052,Ph 1/2 CTO With Lomustine for Bevacizumab-Naive Recurrent Glioma,CTO,2016-02,This study was terminated early due to funding issues prior to completion of phase I
NCT05277168,"A TRIAL TO EVALUATE THE SAFETY, TOLERABILITY, PHARMACOKINETICS, AND EFFICACY OF SHR-A1904 IN SUBJECTS WITH ADVANCED SOLID TUMORS",SHR-A1904,2026-05,Reason not provided
NCT05467891,"Ribociclib And Endocrine Treatment of Physician's Choice for Locoregional Recurrent, Resected Hormone Receptor Positive HER2 Negative Breast Cancer",Ribociclib,2029-08-15,Reason not provided
NCT04076761,Study of TRIFLURIDINE/TIPIRACIL in Previously Treated Cholangiocarcinoma,Trifluridine/Tipiracil,2022-09-30,Lack of Funding
NCT03240653,Gaucherite - A Study to Stratify Gaucher Disease,Unknown Drug,2028-12-31,Reason not provided
NCT05599256,Prevention of Severe Acute Graft-versus-host Disease in Pediatric Patients Using a daGOAT Model,Ruxolitinib,2025-12-01,Reason not provided
NCT02660645,Blue Light Cystoscopy With Cysview® Registry,Hexaminolevulinate hydrochloride (HCL),2028-12,Reason not provided
NCT06375642,"A Single Arm, Single Centered Phase II Trial on the Combination of Adebrelimab, Surufatinib and Irinotecan Liposome-based HAIC in Advanced iCC",Adebrelimab,2026-08-31,Reason not provided
NCT03262766,Daily Intermittent Hypoxia and Task-Specific Upper Limb Training in Persons With Chronic Incomplete SCI,Unknown Drug,2020-10-30,Reason not provided
NCT04105556,Male Circumcision and Comfort Theory,Unknown Drug,2020-03-01,Reason not provided
NCT04392427,New Antiviral Drugs for Treatment of COVID-19,"Treatment group: will receive a combination of Nitazoxanide, Ribavirin and Ivermectin for a duration of seven days :",2022-05,Reason not provided
NCT03214666,GTB-3550 Tri-Specific Killer Engager (TriKE®) for High Risk Hematological Malignancies,GTB-3550 TriKE® Phase I,2021-09-29,"Development of GTB-3550 halted due to development of the second generation camelid nanobody TriKE drug product, GTB-3650."
NCT00138073,Effectiveness of a Computer Application in Improving Pulmonary Artery Catheter Waveform Interpretation,Unknown Drug,2012-04,The study was terminated because of lack of resources to complete it.
NCT03093441,A Comparison of High-intensity Interval Training Protocols on Health and Fitness,Unknown Drug,2018-08-23,Reason not provided
NCT02418442,Observational Study of Pediatric Rheumatic Diseases: The CARRA Registry,Unknown Drug,2028-12,Reason not provided
NCT05373186,A Trial Investigating the Pharmacodynamics of BC Combo THDB0207 Compared With Humalog® Mix25 and Simultaneous Injections of Humalog® and Lantus® in Healthy Chinese Volunteers,Euglycemic clamp with BC Combo THDB0207,2022-12-04,Reason not provided
NCT01632566,A Multiple-dose Study of LY3031207 in Healthy Participants,Placebo,2013-04,Elevation of alanine aminotransferase (ALT) and aspartate aminotransferase (AST) in some participants.
NCT04555850,A Phase 1b Study of Thymosin Beta 4 in Healthy Volunteers,Recombinant Human Thymosin β4,2019-07-26,Reason not provided
NCT07487922,Examining the Effects of Fatigue According to Nomophobia Level,Unknown Drug,2026-03-11,Reason not provided
NCT01415713,The Study of Metastatic Pancreatic Adenocarcinoma,"S-1,Leucovorin,Oxaliplatin,Gemcitabine",2016-04,Reason not provided
NCT05726162,Effects of Biofeedback-based Music Program Using a Smart Device Application on Perioperative Sleep Quality,Unknown Drug,2024-01-30,Reason not provided
NCT00880269,Efficacy and Safety of Panobinostat (LBH589) in Patients With Refractory de Novo or Secondary Acute Myelogenous Leukemia (AML),Panobinostat/LBH589,2012-02,Reason not provided
NCT02956005,Envarsus XR in African American Renal Transplant Recipients,ENVARSUS®,2018-09,IIS - PI left the institution. Subjects just followed to study completion
NCT05303805,Topical Sevoflurane for Treatment of Chronic Leg Ulcers,Sevoflurane,2027-01-31,Reason not provided
NCT00515086,Study of Everolimus (RAD001) in Patients With Recurrent Glioblastoma Multiforme (GBM),Everolimus,2009-08,Early termination due to slow enrollment and protocol-defined stopping rule.
NCT06953570,Impact of Frailty on Nalbuphine Dose for Postoperative Analgesia in Elderly Patients Undergoing Laparoscopic GI Surgery,Unknown Drug,2026-10-10,Reason not provided
NCT01668654,"Long-term, Open-label Safety Extension Study of Retigabine/Ezogabine in Pediatric Subjects (>= 12 Years Old) With POS or LGS",retigabine/ezogabine,2013-06-18,FDA placed a clinical hold on the Pediatric Program requiring retigabine discontinuation in subjects; early termination allows for timely reporting of results.
NCT04280094,Can Ideal Mesh Size be Standardized in Open Inguinal Hernia Repair,Unknown Drug,2020-11-30,Reason not provided
NCT07156851,Observational BELgian Registry of Implanted EV-ICD to Evaluate Parameters and Complications of the New Device in Real World Settings,Unknown Drug,2040-07-01,Reason not provided
NCT07536893,Effect of Tai Chi and Multimodal Exercise in Overweight and Obese Women,Unknown Drug,2025-06-23,Reason not provided
NCT05847816,The Effects of Three Different Techniques During PIVC,Unknown Drug,2024-11-30,Reason not provided
NCT06129864,A Global Study of Volrustomig (MEDI5752) for Participants With Unresected Locally Advanced Head and Neck Squamous Cell Carcinoma Following Definitive Concurrent Chemoradiotherapy,volrustomig,2031-02-28,Reason not provided
NCT06081998,Investigation of the Effects of Sleep Deprivation on Itch and Pain Sensitivity,Unknown Drug,2026-12-31,Reason not provided
NCT02354014,Pharmacokinetic Study to Evaluate Anti-mycobacterial Activity of TMC207 in Combination With Background Regimen (BR) of Multidrug Resistant Tuberculosis (MDR-TB) Medications for Treatment of Children/Adolescents With Pulmonary MDR-TB,Bedaquiline (TMC207),2028-11-02,Reason not provided
NCT00617578,Fast VT Episodes Are Terminated by ATP One Shot,Unknown Drug,2012-07,Reason not provided
NCT05268406,Evaluation of C-Scan in Identifying Subjects With Elevated Risk of Polyps in the Colon,Unknown Drug,2023-08-31,Reason not provided
NCT00119678,Abatacept in the Treatment and Prevention of Active Systemic Lupus Erythematosus (SLE) Flares in Combination With Prednisone,Abatacept,2008-11,Reason not provided
NCT05999084,Georgia Memory Net Anti-Amyloid Monoclonal Antibody Registry,Anti-amyloid Monoclonal Antibodies (mAbs),2028-07,Reason not provided
NCT06118333,A Study Comparing BL-B01D1 With Physician's Choice of Chemotherapy in Patients With Recurrent or Metastatic Nasopharyngeal Carcinoma(PANKU-NPC01),BL-B01D1,2026-11,Reason not provided
NCT04949633,Oxytocin vs Prostaglandins for Labor Induction of Women With an Unfavorable Cervix After 24h of Cervical Ripening,Prostaglandins,2026-11,Reason not provided
NCT05944848,A Study of CL-197 Capsules in Healthy Participants,1 mg CL-197 capsules,2024-01-20,Reason not provided
NCT04616638,Effects of Guided Exercise on Functional Performance and Independence in Adults With Intellectual Disability,Unknown Drug,2019-07-31,Reason not provided
NCT01207726,Azacitidine and Entinostat in Treating Patients With Stage I Non-Small Cell Lung Cancer That Has Been Removed By Surgery,Azacitidine,2013-05,Slow Accrual due to patients not wanting daily clinic administration of 5AZA and/or 6 months of treatment after surgery.
NCT04763343,Ketamine Treatment of Youth Suicide Attempters,Ketamine Hydrochloride,2026-08-31,Reason not provided
NCT00138762,A Study of Torcetrapib/Atorvastatin vs Atorvastatin Alone or Placebo in Patients With High Cholesterol,torcetrapib/atorvastatin,2006-08,Reason not provided
NCT01085513,Diagnosis of Intestinal Motility by Image Analysis Using Capsule Endoscopy,Unknown Drug,2013-06,Reason not provided
NCT07642024,A Study of BL-B01D1 in Combination With Osimertinib as Perioperative Therapy in Patients With EGFR-mutated Resectable Non-small Cell Lung Cancer(PANKU-Lung09),BL-B01D1,2032-12,Reason not provided
NCT04079179,"Cobimetinib in Refractory Langerhans Cell Histiocytosis (LCH), and Other Histiocytic Disorders",Cobimetinib,2029-12,Reason not provided
NCT02786589,Plasmodium Immunotherapy for Lung Cancer,Unknown Drug,2023-12-30,Reason not provided
NCT01051791,Phase II Study of RAD001 Head and Neck Cancer,Everolimus 10mg daily,2016-08-05,Reason not provided
NCT02965950,The p53 Breast Cancer Trial,Cyclophosphamide,2033-05,Reason not provided
NCT03503318,Study to Evaluate TV-46000 as Maintenance Treatment in Adult and Adolescent Participants With Schizophrenia,TV-46000,2020-12-03,Reason not provided
NCT05926479,Validation And Turkish Cross-Cultural Adaptation of Treatment Expectation Questionnaire (TEX-Q) Tool,Unknown Drug,2023-09-01,Reason not provided
NCT01980888,Efficacy and Safety of Idelalisib in Combination With Bendamustine and Rituximab in Adults With Previously Untreated Chronic Lymphocytic Leukemia,Idelalisib,2016-06-16,Reason not provided
NCT02959684,"Strategic Screening for Infectious Diseases (Tuberculosis, HIV, HBV, HCV) Amongst Migrants in France",Unknown Drug,2019-07,Reason not provided
NCT05580185,"Multicenter, Multinational, Follow-Up Clinical Trial of the Performance of RESPINOR DXT to Identify Patients at Increased Risk of Weaning Failure",Unknown Drug,2023-07-30,Reason not provided
NCT02916225,High Intensity Interval Training Versus Moderate Continuous Training in Heart Failure With Preserved Ejection Fraction,Unknown Drug,2018-03,Reason not provided
NCT06752304,A Longitudinal Study of Severe and Enduring Eating Disorders,Unknown Drug,2048-12,Reason not provided
NCT05517148,Effects of an Immersive Virtual Reality Intervention Combined With Mindfulness-based Stress Reduction,Unknown Drug,2023-01-30,Reason not provided
NCT05742425,Serplulimab Combined With FOLFIRI and Bevacizumab in the Treatment of Colon Cancer Peritoneal Metastases,Serplulimab Combined With FOLFIRI and Bevacizumab,2028-03,Reason not provided
NCT04412408,Study on Sintilimab in Stage IV High Risk Neuroblastoma,Sintilimab,2023-06-30,Reason not provided
NCT02685267,Docetaxel/Prednisone Versus Docetaxel/Prednisone and Enzalutamide in Castration-Resistant Prostate Cancer,Docetaxel,2017-08,Reason not provided
NCT03330301,D-tecting Disease - From Exposure to Vitamin D During Critical Periods of Life,Unknown Drug,2016-09-30,Reason not provided
NCT06515236,Strategic Treatment and Assessment for Youth (STAY),Unknown Drug,2026-11-30,Reason not provided
